Coverage ErrorRate EditDis n Freq
100 4 6 9 27031
100 4 6 10 28136
100 4 6 11 28255
100 4 6 12 27191
100 4 6 13 25233
100 4 6 14 21634
100 4 6 15 18700
100 4 6 16 14884
100 4 6 17 11856
100 4 6 18 8573
100 4 6 19 6283
100 4 6 20 4209
100 4 6 21 2759
100 4 6 22 1831
100 4 6 23 1120
100 4 6 24 679
100 4 6 25 382
100 4 6 26 204
100 4 6 27 96
100 4 6 28 51
100 4 6 29 27
100 4 6 30 14
100 4 6 31 7
100 4 6 32 4
10 0 0 1 6868
10 0 0 2 954
10 0 0 3 88
10 0 2 1 11807
10 0 2 2 4873
10 0 2 3 1378
10 0 2 4 296
10 0 2 5 61
10 0 2 6 5
10 0 4 1 11350
10 0 4 2 7900
10 0 4 3 3544
10 0 4 4 1230
10 0 4 5 369
10 0 4 6 81
10 0 4 7 27
10 0 4 8 3
10 0 6 1 9015
10 0 6 2 8979
10 0 6 3 5633
10 0 6 4 2743
10 0 6 5 1114
10 0 6 6 301
10 0 6 7 99
10 0 6 8 28
10 0 6 9 7
10 0 6 10 5
10 0.1 0 1 6572
10 0.1 0 2 837
10 0.1 0 3 56
10 0.1 2 1 11840
10 0.1 2 2 4674
10 0.1 2 3 1191
10 0.1 2 4 254
10 0.1 2 5 17
10 0.1 2 6 1
10 0.1 4 1 11371
10 0.1 4 2 7848
10 0.1 4 3 3476
10 0.1 4 4 1172
10 0.1 4 5 257
10 0.1 4 6 64
10 0.1 4 7 14
10 0.1 6 1 9214
10 0.1 6 2 8832
10 0.1 6 3 5648
10 0.1 6 4 2685
10 0.1 6 5 1017
10 0.1 6 6 252
10 0.1 6 7 87
10 0.1 6 8 17
10 0.1 6 9 6
10 0.5 0 1 4974
10 0.5 0 2 600
10 0.5 0 3 36
10 0.5 2 1 10743
10 0.5 2 2 3709
10 0.5 2 3 938
10 0.5 2 4 144
10 0.5 2 5 41
10 0.5 4 1 11617
10 0.5 4 2 7087
10 0.5 4 3 2888
10 0.5 4 4 1001
10 0.5 4 5 220
10 0.5 4 6 69
10 0.5 4 7 21
10 0.5 4 8 1
10 0.5 6 1 9516
10 0.5 6 2 8871
10 0.5 6 3 5051
10 0.5 6 4 2421
10 0.5 6 5 806
10 0.5 6 6 265
10 0.5 6 7 98
10 0.5 6 8 18
10 0.5 6 9 3
10 1 0 1 3524
10 1 0 2 348
10 1 0 3 4
10 1 2 1 9784
10 1 2 2 2771
10 1 2 3 579
10 1 2 4 95
10 1 2 5 5
10 1 4 1 11613
10 1 4 2 6517
10 1 4 3 2442
10 1 4 4 687
10 1 4 5 159
10 1 4 6 29
10 1 6 1 10000
10 1 6 2 8495
10 1 6 3 4902
10 1 6 4 1925
10 1 6 5 652
10 1 6 6 171
10 1 6 7 32
10 1 6 8 2
10 2 0 1 1814
10 2 0 2 111
10 2 2 1 7684
10 2 2 2 1670
10 2 2 3 266
10 2 2 4 27
10 2 2 6 1
10 2 4 1 11411
10 2 4 2 5186
10 2 4 3 1675
10 2 4 4 439
10 2 4 5 75
10 2 4 6 10
10 2 4 7 1
10 2 6 1 11139
10 2 6 2 7761
10 2 6 3 3921
10 2 6 4 1458
10 2 6 5 470
10 2 6 6 92
10 2 6 7 16
10 2 6 8 2
10 4 0 1 440
10 4 0 2 24
10 4 2 1 4148
10 4 2 2 534
10 4 2 3 84
10 4 2 4 4
10 4 4 1 9498
10 4 4 2 2967
10 4 4 3 775
10 4 4 4 123
10 4 4 5 19
10 4 6 1 11184
10 4 6 2 6289
10 4 6 3 2594
10 4 6 4 777
10 4 6 5 219
10 4 6 6 19
10 4 6 7 3
10 4 6 8 2
150 0 0 1 31552
150 0 0 2 65070
150 0 0 3 91160
150 0 0 4 95205
150 0 0 5 79926
150 0 0 6 54880
150 0 0 7 32784
150 0 0 8 17271
150 0 0 9 7520
